title,event,institution,loc,start,end,section,color,fontcolor,description_1,description_2,description_3,in_resume
[Henry Wellcome Fellowship](https://wellcome.org/grant-funding/schemes/sir-henry-wellcome-postdoctoral-fellowships),Wellcome Trust,Wellcome Trust & University of Oxford,UK,01/06/2022,01/06/2025,grants,#EE4244,#4D4D4D,"30,000 GBP towards my current research","Collaboration between groups of Rachel Wilson, Wei Lee, Scott Waddell and Shaul Druckmann",,
[EMBO fellow](https://www.embo.org/funding/fellowships-grants-and-career-support/postdoctoral-fellowships/),EMBO fellow,European Molecular Biology Organization,European,01/04/2021,present,grants,#EE4244,#4D4D4D,,,,TRUE
Human Frontiers Fellowship,HFSP fellow,International Human Frontier Science Program,International,01/05/2021,01/05/2021,grants,#EE4244,#4D4D4D,"Postdoctoral fellowship, gratefully declined",,,TRUE
Life Science Research Foundation Fellowship,LSRF fellow,Life Science Research Foundation,US,01/06/2021,01/06/2021,grants,#EE4244,#4D4D4D,"Postdoctoral fellowship, gratefully declined",,,TRUE
[Herchel Smith Scholarship](https://www.herchelsmith.cam.ac.uk/phd-studentships/current-phd-students),Herchel Smith Scholarship,Herchel Smith Foundation,"Cambridge, UK",01/08/2015,30/09/2019,grants,#EE4244,#4D4D4D,,,,TRUE
[Boehringer Ingelheim Scholarship](https://www.bifonds.de/fellowships-grants/phd-fellowships/who-can-apply-phd.html),Boehringer Ingelheim Scholarship,Boehringer Ingelheim Foundation,European,01/08/2016,01/08/2018,awards,#1BB6AF,#4D4D4D,,,,TRUE
"[Honorary Vice Chancellor's Award](https://www.cambridgetrust.org/scholarships/v-c-awards-and-cambridge-international-scholarships/#:~:text=The%20aim%20of%20the%20Vice,research%20leading%20to%20a%20PhD.)",Honorary Vice Chancellor's Award,University of Cambridge,"Cambridge, UK",01/08/2015,01/08/2015,awards,#1BB6AF,#4D4D4D,,,,TRUE
Burnstock Prize,Burnstock Prize,University College London,"London, UK",01/07/2013,01/07/2013,awards,#1BB6AF,#4D4D4D,"Highest grade in Neuroscience BSc course, 1st year",,,TRUE
Burnstock Prize,Burnstock Prize,University College London,"London, UK",01/07/2014,01/07/2014,awards,#1BB6AF,#4D4D4D,"Highest grade in Neuroscience BSc course, 2nd year",,,TRUE
Burnstock Prize,Burnstock Prize,University College London,"London, UK",01/07/2015,01/07/2015,awards,#1BB6AF,#4D4D4D,"Highest grade in Neuroscience BSc course, 3rd year",,,TRUE
Max Perutz Prize,Max Perutz Prize,"MRC LMB, University of Cambridge","Cambridge, UK",01/10/2020,01/10/2020,awards,#1BB6AF,#4D4D4D,[A best thesis at the MRC LMB](https://www2.mrc-lmb.cam.ac.uk/achievements/lmb-student-prize/),,,TRUE
BNA Postgraduate Prize,BNA Postgraduate Prize,British Neuroscience Association,UK,01/12/2020,01/12/2020,awards,#1BB6AF,#4D4D4D,[A best neuroscience thesis](https://www.bna.org.uk/members/student-prizes/),,,TRUE
Dean's list,Dean's list,University College London,"London, UK",01/07/2013,01/07/2013,awards,#1BB6AF,#4D4D4D,"Dean’s list for the Faculty of Life Sciences, awarded based on undergraduate grades",,,TRUE
Dean's list,Dean's list,University College London,"London, UK",01/07/2014,01/07/2014,awards,#1BB6AF,#4D4D4D,"Dean’s list for the Faculty of Life Sciences, awarded based on undergraduate grades",,,TRUE
[Rob Clarke Award](https://www.physoc.org/grants-and-prizes/prizes/the-rob-clarke-awards/),Rob Clarke Award,Society of Physiology,"London, UK",01/09/2015,01/09/2015,awards,#1BB6AF,#4D4D4D,,,,TRUE
Neuroscience BSc,"Neuroscience BSc, UCL",University College London,"London, UK",01/09/2012,01/07/2015,education,#007BC3,#4D4D4D,1st class degree with honours,Modules taken listed on [linkedIn](https://www.linkedin.com/in/alex-bates-22a265a7/),,TRUE
GCSEs,High school,Woodbridge High School,"London, UK",01/09/2008,31/09/2010,education,#5CA700,#4D4D4D,"13 A*s: English Literature, English Language, Mathematics, Statistics, Core Science, Additional Science, History, Philosophy, Geography, French, Italian, Russian and Expressive Arts. [Jack Petchey Achievement Award](https://www.jackpetcheyfoundation.org.uk/opportunities/grant-programmes/achievement-awards/)",,,TRUE
A levels,High school,Woodbridge High School,"London, UK",01/09/2010,01/09/2012,education,#5CA700,#4D4D4D,"6 A*s at A-level, comprising: Physics, Chemistry, Mathematics, English Literature, Philosophy and Russian, and A* in a history related EPQ (level 3) project",,,TRUE
Neuroscience PhD,"Neuroscience PhD, University of Cambridge",University of Cambridge,"Cambridge, UK",01/09/2015,30/09/2020,education,#FC6882,#4D4D4D,PhD student with [Dr. Greg Jefferis](https://en.wikipedia.org/wiki/Gregory_Jefferis) ,"[Thesis](https://drive.google.com/file/d/1qiiAcquT948EcSC0SJYW85j8C-amOKkT/view): The lateral horn, a brain region in the fly, primes innate olfactory behaviours by combining patterns of second-order olfactory projection neuron activity. In my work, I developed tools and analyses, and reconstructed neural networks from electron microscopy data, in order to better understand this brain region and how memory systems interact with it","Neuroinformatics, data science, R programming",TRUE
Paris Spring School in Neuroscience Techniques,Neuroscience Techniques Training,"Cambridge, UK","Cambridge, UK",13/06/2018,28/06/2018,experience,#D5A848,#4D4D4D,[A course in](https://www.google.com/url?q=https://parisneuro.ovh/&sa=D&source=editors&ust=1626576404921000&usg=AOvVaw3eOj4rTk3Uv6H6IJSM3JZb) Optical Imaging and Electrophysiological Recording in Neuroscience,,,TRUE
Visiting Scholar,Janelia Research Campus,Janelia Research Campus,"Ashburn, US",01/02/2019,01/03/2019,experience,#FBBB48,#4D4D4D,"Worked in FlyEM, [Dr. Gerry Rubin’s Group](https://www.hhmi.org/scientists/gerald-m-rubin)",Worked on the hemibrain connectome,,TRUE
Visiting Scholar,Janelia Research Campus,Janelia Research Campus,"Ashburn, US",01/02/2016,01/05/2016,experience,#FBBB48,#4D4D4D,Worked with [Dr. Albert Cardona’s Group](https://www.janelia.org/people/albert-cardona),Worked on the L1 larval connectome,,TRUE
University of Queensland Winter Scholarship,University of Queensland,University of Queensland,"Brisbane, Australia",06/01/2015,01/08/2015,experience,#FBBB48,#4D4D4D,"Worked on tectal activity in zebrafish larvae, light sheet imaging, [Dr. Ethan Scott’s Group](https://researchers.uq.edu.au/researcher/1835)",,,TRUE
[Amgen Scholarship](https://www.google.com/url?q=https://amgenscholars.com/alumn/alex-bates/&sa=D&source=editors&ust=1626581062908000&usg=AOvVaw2a9vv9JV6gpLghqCyVznFE),Amgen Shcolarship,"Dept. Zoology, University of Cambridge","Cambridge, UK",06/01/2014,01/08/2014,experience,#FBBB48,#4D4D4D,"Worked on neuronal structural plasticity in D. melanogaster larvae, [Dr. Landgraf’s group](https://www.zoo.cam.ac.uk/directory/dr-matthias-landgraf)",,,TRUE
UCL iGEM,UCL iGEM,University College London,"London, UK",06/01/2013,01/08/2013,experience,#FBBB48,#4D4D4D,"Team member, cloning, cell culture, project planning",Gold medallist,,TRUE
UCL iGEM Advisor,UCL iGEM Advisor,University College London,"London, UK",06/01/2014,01/08/2014,leadership_experience,#FBBB48,#4D4D4D,"Project planning, oversight, team slection and management",Gold medallist,,TRUE
Summer student in the biomolecular modelling laboratory,Cancer Research UK,"Cancer Research UK, London Research Institute","London, UK",06/01/2013,01/08/2013,experience,#FBBB48,#4D4D4D,"Student Placement with Dr. Tammy Cheng, python programming ",,,TRUE
Mentored summer student,Mentoring,"MRC LMB, University of Cambridge","Cambridge, UK",01/05/2017,01/07/2017,leadership_experience,#FBBB48,#4D4D4D,,,,TRUE
Mentored summer student,Mentoring,"MRC LMB, University of Cambridge","Cambridge, UK",01/05/2018,01/07/2018,leadership_experience,#FBBB48,#4D4D4D,,,,TRUE
Mentored undergraduate student,Mentoring,"Dept. Zoology, University of Cambridge","Cambridge, UK",01/09/2017,01/05/2018,leadership_experience,#FBBB48,#4D4D4D,Student won best thesis in year award and two authorships,,,TRUE
Brains and Roses,Brains and Roses,Schaeffer and Datta group organised,"Montserrat, Catalonia",01/06/2016,01/06/2016,meetings,#D5A848,#4D4D4D,,,,TRUE
Boehringer Ingelheim Meeting,BIF meeting,Boehringer Ingelheim Fonds,"Hirschegg, Austria",01/06/2017,01/06/2017,meetings,#D5A848,#4D4D4D,,,,TRUE
Boehringer Ingelheim Meeting,BIF meeting,Boehringer Ingelheim Fonds,"Hirschegg, Austria",01/06/2018,01/06/2018,meetings,#D5A848,#4D4D4D,,,,TRUE
MPI Connectomics meeting,MPI Connectomics meeting,Max Planck Institute,"Berlin, Germany",01/10/2017,01/10/2017,meetings,#D5A848,#4D4D4D,,,,TRUE
ECRO meeting,ECRO meeting,European Chemoreception Research Organization,"Cambridge, UK",11/09/2017,11/09/2017,meetings,#D5A848,#4D4D4D,,,,TRUE
ECRO meeting,ECRO meeting,European Chemoreception Research Organization,"Trieste, Italy",11/09/2019,11/09/2019,meetings,#D5A848,#4D4D4D,,,,TRUE
President of [BlueSci](www.bluesci.co.uk),President of BlueSci,University College London,"London, UK",01/01/2016,01/10/2019,leadership_experience,#C70E7B,#4D4D4D,"Lead [BlueSci](www.bluesci.co.uk), the University of Cambridge’s science media society, throguh 15 issues of the [magazine](https://issuu.com/bluesci)",,,TRUE
President of the [UCLU Writer's Society](https://studentsunionucl.org/clubs-societies/writers-society?sku=CSC-MEMBERSHIP-2021-NID-82294-FULL),President of the UCLU Writer's Society,University College London,"London, UK",01/10/2014,01/10/2015,leadership_experience,#C70E7B,#4D4D4D,,,,TRUE
"Science Editor, [Pi Magazine](https://uclpimedia.com/)","Science Editor, Pi Magazine",University College London,"London, UK",01/10/2014,01/10/2015,leadership_experience,#C70E7B,#4D4D4D,,,,TRUE
[LMB graduate symposium organiser](https://www3.mrc-lmb.cam.ac.uk/sites/gsasymposium/),Symposium organiser,"MRC LMB, University of Cambridge","Cambridge, UK",01/05/2016,01/07/2016,leadership_experience,#C70E7B,#4D4D4D,,,,TRUE
[LMB graduate symposium lead organiser](https://www3.mrc-lmb.cam.ac.uk/sites/gsasymposium/),Symposium organiser,"MRC LMB, University of Cambridge","Cambridge, UK",01/05/2017,01/07/2017,leadership_experience,#C70E7B,#4D4D4D,,,,TRUE
Dolan and Belliart-Guérin et al. 2016,Dolan and Belliart-Guérin et al. 2016,"Cambridge, UK","Cambridge, UK",01/01/2018,01/01/2018,publications,#8FDA04,#4D4D4D,Communication from Learned to Innate Olfactory Processing Centers Is Required for Memory Retrieval in Drosophila,,,TRUE
Bates et al. 2018,Bates et al. 2018,"Cambridge, UK","Cambridge, UK",01/10/2018,01/10/2018,publications,#EE4244,#4D4D4D,Neuronal Cell Types in the Fly: Single-Cell Anatomy Meets Single-Cell Genomics,,,TRUE
Bates and Manton et al. 2020,Bates and Manton et al. 2020,"Cambridge, UK","Cambridge, UK",09/04/2020,09/04/2020,publications,#EE4244,#4D4D4D,"The Natverse, a Versatile Toolbox for Combining and Analysing Neuroanatomical Data",,,TRUE
Bates and Schlegel et al. 2020,Bates and Schlegel et al. 2020,"Cambridge, UK","Cambridge, UK",29/06/2020,29/06/2020,publications,#EE4244,#4D4D4D,Complete Connectomic Reconstruction of Olfactory Projection Neurons in the Fly Brain,,,TRUE
Huoviala et al. 2018,Huoviala et al. 2018,"Cambridge, UK","Cambridge, UK",11/06/2018,11/06/2018,publications,#8FDA04,#4D4D4D,Neural circuit basis of aversive odour processing in Drosophila from sensory input to descending output,,,TRUE
Li et al. 2018,Li et al. 2018,"Cambridge, UK","Cambridge, UK",24/05/2019,24/05/2019,publications,#8FDA04,#4D4D4D,Automated Reconstruction of a Serial-Section EM Drosophila Brain with Flood-Filling Networks and Local Realignment,,,TRUE
Frechter et al. 2019,Frechter et al. 2019,"Cambridge, UK","Cambridge, UK",21/05/2019,21/05/2019,publications,#8FDA04,#4D4D4D,Functional and anatomical specificity in a higher olfactory centre,,,TRUE
Dolan et al. 2019,Dolan et al. 2019,"Cambridge, UK","Cambridge, UK",21/05/2019,21/05/2019,publications,#8FDA04,#4D4D4D,"Neurogenetic dissection of the Drosophila lateral horn reveals major outputs, diverse behavioural functions, and interactions with the mushroom body",,,TRUE
